[2025-12-01 12:47:30] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 12:47:30] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 12:47:30] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 12:47:30] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 12:56:48] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 12:56:48] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 12:56:48] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 12:56:48] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:07:06] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:07:06] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:07:06] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:07:06] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:22:59] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:22:59] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:22:59] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:22:59] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:24:49] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:24:49] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:24:49] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:24:49] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:40:44] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:40:44] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:40:44] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:40:44] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:41:05] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:41:05] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:41:05] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:41:05] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 13:50:49] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 13:50:49] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 13:50:49] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 13:50:49] Directory traversal detected from 127.0.0.1 | Signature: ../
